category,name,url,price,image,color,screen type,rear camera,front camera,chipset,ram,internal memory (rom)
samsung,điện thoại samsung galaxy s21 ultra 5g đen,https://pico.vn/41967/dien-thoai-di-dong-samsung-smg996-galaxy-s21-ultra-5g-den.html,26990000,https://cdn.pico.vn/product/41967/364701_sm-g998s21ultraphantom-blackfront201110.jpg,android 11,"dynamic amoled 2x 6.8 inch, 2k+ (1440 x 3200 pixels)","cam sau 108 mp & phụ 12 mp, 10 mp, 10 mp,",trước :40 mp,exynos 2100 8 nhân,ram 12gb,128 gb
samsung,điện thoại samsung galaxy s21+ 5g tím,https://pico.vn/41966/dien-thoai-di-dong-samsung-smg996-galaxy-s21-5g-tim.html,22490000,https://cdn.pico.vn/product/41966/364685_sm-g990g991s21phantom-violetfront201110.jpg,android 11,"dynamic amoled 2x 6.7 inch, full hd+ (1080 x 2400 pixels)","sau 12 mp & 64 mp, 12 mp,",trước :10 mp,exynos 2100 8 nhân,8 gb,128gb
samsung,điện thoại samsung galaxy s21+ 5g bạc,https://pico.vn/41965/dien-thoai-di-dong-samsung-smg996-galaxy-s21-5g-bac.html,22490000,https://cdn.pico.vn/product/41965/364679_sm-g990g991s21phantom-whitefront201110.jpg,android 11,"dynamic amoled 2x 6.7 inch, full hd+ (1080 x 2400 pixels)","sau 12 mp & 64 mp, 12 mp,",trước :10 mp,exynos 2100 8 nhân,8 gb,"128 gb,"
samsung,điện thoại samsung galaxy s21+ 5g đen,https://pico.vn/41964/dien-thoai-di-dong-samsung-smg996-galaxy-s21-5g-den.html,22490000,https://cdn.pico.vn/product/41964/364671_sm-g990g991s21phantom-grayfront201110.jpg,android 11,"dynamic amoled 2x 6.7 inch, full hd+ (1080 x 2400 pixels)","sau 12 mp & 64 mp, 12 mp,",trước :10 mp,exynos 2100 8 nhân,ram 8gb,"128 gb,"
samsung,điện thoại samsung galaxy a12 trắng (4gb/128gb),https://pico.vn/41953/dien-thoai-di-dong-samsung-sma125-trang--galaxy-a12.html,3990000,https://cdn.pico.vn/product/41953/364504_untitled-1.jpg,android 10,nan,"sau : 48mp, 5mp, 2mp, 2mp (4 camera)",trước : 8 mp,"helio g35 8 nhân, ram 4gb",ram 4gb,128gb
samsung,điện thoại samsung galaxy a12 xanh (4gb/128gb),https://pico.vn/41952/dien-thoai-di-dong-samsung-sma125-xanh--galaxy-a12.html,3990000,https://cdn.pico.vn/product/41952/364510_untitled-1.jpg,android 10,nan,"sau : 48mp, 5mp, 2mp, 2mp (4 camera) +","sau : 48mp, 5mp, 2mp, 2mp (4 camera) +","helio g35 8 nhân, ram 4gb",ram 4 gb,128gb
samsung,điện thoại samsung galaxy a12 đen (4gb/128gb),https://pico.vn/41951/dien-thoai-di-dong-samsung-sma125-den--galaxy-a12.html,3990000,https://cdn.pico.vn/product/41951/364516_untitled-1.jpg,android 10,nan,"sau : 48mp, 5mp, 2mp, 2mp (4 camera)",trước : 8 mp,"helio g35 8 nhân, ram 4gb",ram 4 gb,128gb
oppo,điện thoại oppo reno 5 bạc đa sắc,https://pico.vn/41950/dien-thoai-di-dong-oppo-cph2159--reno-5-bac-da-sac.html,7490000,https://cdn.pico.vn/product/41950/364528_untitled-1.jpg,android,amoled,"4 camera sau: 64 mp + 8 mp + 2 mp + 2 mp,",camera trước 44mp,"snapdragon 720g 8 nhân,",ram 8 gb,128 gb
oppo,điện thoại oppo reno 5 đen huyền bí,https://pico.vn/41949/dien-thoai-di-dong-oppo-cph2159--reno-5-den-huyen-bi.html,7490000,https://cdn.pico.vn/product/41949/364540_untitled-1.jpg,android,amoled,"4 camera sau: 64 mp + 8 mp + 2 mp + 2 mp,",camera trước 44mp,"snapdragon 720g 8 nhân,",ram 8gb,128 gb
iphone,điện thoại iphone 12 pro max pacific blue 256gb - mgdf3vn/a,https://pico.vn/41915/dien-thoai-di-dong-iphone-12-pro-max-pacific-blue-256gb--mgdf3vna.html,31890000,https://cdn.pico.vn/product/41915/364123_eea19a244716c683aedd35fcd52887a4fe396841iphone12promaxpacificbluepdpimageposition1en.jpg,ios 14,6.7 inch super retina xdr,sau: 3 cam 12 mp.,trước 12mp,nan,ram 6 gb,rom 256 gb
