category,name,url,price,image,color,screen,rear camera,front camera,operating system - cpu,memory - storage,connection,battery info - charging
iphone,iphone 12 pro max 512gb chính hãng (vn/a),https://didongviet.vn/iphone-12-pro-max-512gb-vna,37590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-12-promax-didongviet_2.jpg,"silver, graphite, pacific blue, gold","công nghệ màn hình: super retina xdr oled, độ phân giải: 1284 x 2778 pixels, màn hình rộng: 6.7 inches","độ phân giải: 12 mp + 12 mp + 12 mp + tof, quay phim: 4k@24/30/60fps, 1080p@30/60/120/240fps, hdr, dolby vision hdr (up to 60fps)",độ phân giải: 12 mp,"hệ điều hành: ios 14, chipset (hãng sx cpu): apple a14 bionic (5 nm), tốc độ cpu: hexa-core",bộ nhớ trong: 512 gb,"mạng di động: hỗ trợ 5g, wifi: wi-fi 802.11 a/b/g/n/ac/6, dual-band, hotspot, bluetooth: 5.0, a2dp, le, cổng kết nối/sạc: lightning, usb 2.0",nan
iphone,iphone 11 64gb chính hãng (vn/a) (hộp mới),https://didongviet.vn/iphone-11-64gb-chinh-hang,15990000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-64gb-chinh-hang_1_3.jpg,"màu đỏ, màu xanh, màu trắng, màu đen, màu tím, màu vàng","công nghệ màn hình: ips lcd, độ phân giải: 828 x 1792 pixels, màn hình rộng: 6.1 inches","độ phân giải: 12 mp + 12 mp, quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, hdr, stereo sound rec.","độ phân giải: 12 mp, f/2.2","hệ điều hành: ios 13, chipset (hãng sx cpu): apple a13 bionic, tốc độ cpu: hexa-core","ram: 4 gb, bộ nhớ trong: 64 gb","sim: nano sim, wifi: wi-fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, gps: a-gps, glonass, galileo, qzss, bluetooth: 5.0, a2dp, le","dung lượng pin: 3110 mah, loại pin: li-ion"
iphone,iphone 11 128gb cũ,https://didongviet.vn/iphone-11-128gb-like-new,14590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-128gb-like-new.jpg,"màu đỏ, màu trắng, màu đen, màu tím, màu vàng, màu xanh","công nghệ màn hình: ips lcd, độ phân giải: 828 x 1792 pixels, màn hình rộng: 6.1 inches","độ phân giải: 12 mp + 12 mp, quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, hdr, stereo sound rec.","độ phân giải: 12 mp, f/2.2","hệ điều hành: ios 13, chipset (hãng sx cpu): apple a13 bionic (7 nm+)","ram: 4 gb, bộ nhớ trong: 128 gb","sim: nano sim, wifi: wi-fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, gps: a-gps, glonass, galileo, qzss, bluetooth: 5.0, a2dp, le",loại pin: li-ion
iphone,iphone 11 128gb chính hãng (vn/a) (hộp mới),https://didongviet.vn/iphone-11-128gb-chinh-hang,17590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-128gb-chinh-hang_2.jpg,"màu đỏ, màu xanh, màu trắng, màu đen, màu vàng, màu tím","công nghệ màn hình: ips lcd, độ phân giải: 828 x 1792 pixels, màn hình rộng: 6.1 inches","độ phân giải: 12 mp + 12 mp, quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, hdr, stereo sound rec.","độ phân giải: 12 mp, f/2.2","hệ điều hành: ios 13, chipset (hãng sx cpu): apple a13 bionic (7 nm+)","ram: 4 gb, bộ nhớ trong: 128 gb","sim: nano sim, wifi: wi-fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, gps: a-gps, glonass, galileo, qzss, bluetooth: 5.0, a2dp, le","dung lượng pin: 3110 mah, loại pin: li-ion"
iphone,iphone 11 pro 64gb cũ,https://didongviet.vn/iphone-11-pro-64gb-likenew,15590000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-pro-max-xanh-reu-didongviet_7.jpg,"màu đen, màu trắng, xanh rêu, vàng (gold)","công nghệ màn hình: oled, độ phân giải: 1125 x 2436 pixels, màn hình rộng: 5.8 inches","độ phân giải: 12 mp + 12 mp + 12 mp, quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, hdr, stereo sound rec., đèn flash: có","độ phân giải: 12 mp, f/2.2, videocall: có","hệ điều hành: ios 13, chipset (hãng sx cpu): apple a13 bionic, tốc độ cpu: hexa-core","ram: 4 gb, bộ nhớ trong: 64 gb","sim: nano sim, wifi: wi-fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, gps: a-gps, glonass, galileo, qzss, bluetooth: 5.0, a2dp, le","dung lượng pin: 3046 mah, loại pin: li-ion, công nghệ pin: sạc nhanh 18w"
iphone,iphone 11 pro 256gb cũ,https://didongviet.vn/iphone-11-pro-256gb-like-new,17490000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-pro-xam-didongviet_11.jpg,"màu đen, màu trắng, màu xanh, vàng (gold)","công nghệ màn hình: oled, độ phân giải: 1125 x 2436 pixels, màn hình rộng: 5.8 inches","độ phân giải: 12 mp + 12 mp + 12 mp, quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, hdr, stereo sound rec., đèn flash: có","độ phân giải: 12 mp, f/2.2","hệ điều hành: ios 13, chipset (hãng sx cpu): apple a13 bionic, tốc độ cpu: hexa-core","ram: 4 gb, bộ nhớ trong: 256 gb","sim: nano sim, wifi: wi-fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, gps: a-gps, glonass, galileo, qzss, bluetooth: 5.0, a2dp, le","dung lượng pin: 3046 mah, loại pin: li-ion, công nghệ pin: sạc nhanh 18w"
iphone,iphone 11 pro max 64gb cũ,https://didongviet.vn/iphone-11-pro-max-64gb-like-new,18790000,https://didongviet.vn/pub/media/catalog/product//9/9/99-min.jpg,"màu đen, màu trắng, màu xanh, vàng (gold)","công nghệ màn hình: oled, độ phân giải: 1242 x 2688 pixels, màn hình rộng: 6.5 inches","độ phân giải: 12 mp + 12 mp + 12 mp, quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, hdr, stereo sound rec., đèn flash: có","độ phân giải: 12 mp, f/2.2","hệ điều hành: ios 13, chipset (hãng sx cpu): apple a13 bionic, tốc độ cpu: hexa-core","ram: 4 gb, bộ nhớ trong: 64 gb","sim: nano sim, wifi: wi-fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, gps: a-gps, glonass, galileo, qzss, bluetooth: 5.0, a2dp, le","dung lượng pin: 3.969 mah, loại pin: li-ion, công nghệ pin: sạc nhanh 18w"
iphone,iphone 11 pro max 256gb cũ,https://didongviet.vn/iphone-11-pro-max-256gb-like-new,20790000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-11-pro-max-xanh-didongviet_19_5.jpg,"màu đen, màu trắng, màu xanh, vàng (gold)","công nghệ màn hình: oled, độ phân giải: 1242 x 2688 pixels, màn hình rộng: 6.5 inches","độ phân giải: 12 mp + 12 mp + 12 mp, quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, hdr, stereo sound rec., đèn flash: có","độ phân giải: 12 mp, f/2.2","hệ điều hành: ios 13, chipset (hãng sx cpu): apple a13 bionic, tốc độ cpu: hexa-core","ram: 4 gb, bộ nhớ trong: 256 gb","sim: nano sim, wifi: wi-fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot, gps: a-gps, glonass, galileo, qzss, bluetooth: 5.0, a2dp, le","dung lượng pin: 3.969 mah, loại pin: li-ion, công nghệ pin: sạc nhanh 18w"
iphone,iphone x 256gb cũ,https://didongviet.vn/iphone-x-256gb-like-new,8990000,https://didongviet.vn/pub/media/catalog/product//i/p/iphone-x-256gb-cu-den-didongviet_1_10.jpg,"màu xám, màu bạc","công nghệ màn hình: oled, độ phân giải: 1125 x 2436 pixels, màn hình rộng: 5.8 inches","độ phân giải: dual: 12 mp (f/1.8, 28mm) + 12 mp (f/2.4, 52mm), ois, phase detection autofocus, 2x optical zoom, quad-led dual-tone flash,, quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, đèn flash: có",độ phân giải: 7 mp,"hệ điều hành: ios 11.1.1, chipset (hãng sx cpu): apple a11 bionic, tốc độ cpu: hexa-core 2.39 ghz (2x monsoon + 4x mistral)","ram: 3 gb, bộ nhớ trong: 256 gb","wifi: wi-fi 802.11 a/b/g/n/ac, dual-band, hotspot, gps: yes, with a-gps, glonass, galileo, qzss, bluetooth: 5.0, a2dp, le",dung lượng pin: 2716 mah
iphone,iphone xr 64gb cũ,https://didongviet.vn/iphone-xr-64gb-like-new,8790000,https://didongviet.vn/pub/media/catalog/product//x/r/xr-min.jpg,"màu trắng, màu đen, màu đỏ, màu vàng, xanh dương, màu cam","công nghệ màn hình: ips lcd, độ phân giải: 828 x 1792 pixels, màn hình rộng: 6.1 inches","độ phân giải: 12 mp, f/1.8, 28mm, 1.4µm, ois, pdaf, quay phim: 2160p@24/30/60fps, 1080p@30/60/120/240fps, hdr, stereo sound rec.","độ phân giải: 7 mp, f/2.2","hệ điều hành: ios 12, chipset (hãng sx cpu): apple a12 bionic, tốc độ cpu: hexa-core","ram: 3 gb, bộ nhớ trong: 64 gb",nan,nan
