name,url,price,brand,image,option,category
điện thoại iphone 11 128gb - hàng chính hãng,https://tiki.vn/dien-thoai-iphone-11-128gb-hang-chinh-hang-p32033730.html,17.750.000 ₫,apple,https://salt.tikicdn.com/cache/280x280/ts/product/0c/62/39/499c08d6ec13cd33b33ee601d9e4251e.jpg,,iphone
điện thoại xiaomi redmi 9 - hàng chính hãng,https://tiki.vn/dien-thoai-xiaomi-redmi-9-hang-chinh-hang-p57127752.html,2.890.000 ₫,xiaomi,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,3gb+32gb,xiaomi
điện thoại samsung galaxy a02s (4gb/64gb) - đã kích hoạt bảo hành điện tử - hàng chính hãng,https://tiki.vn/dien-thoai-samsung-galaxy-a02s-4gb-64gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p75321775.html,2.819.000 ₫,samsung,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,,samsung
điện thoại iphone xr 64gb - hàng chính hãng vn/a,https://tiki.vn/dien-thoai-iphone-xr-64gb-hang-chinh-hang-p4538233.html,11.999.000 ₫,apple,https://salt.tikicdn.com/cache/280x280/ts/product/e7/f9/79/cb88a67f068a7dd9ddd5ba33f8348e18.jpg,,iphone
điện thoại xiaomi redmi note 10 (6gb/128gb) - hàng chính hãng,https://tiki.vn/dien-thoai-xiaomi-redmi-note-10-6gb-128gb-hang-chinh-hang-p84709895.html,4.690.000 ₫,xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/41/d5/c9/bc7c59cefdb708904bd758e3fbd29cbb.jpg,,xiaomi
điện thoại vsmart star 4 (4gb/64gb) - hàng chính hãng,https://tiki.vn/dien-thoai-vsmart-star-4-4gb-64gb-hang-chinh-hang-p59043375.html,2.290.000 ₫,vsmart,https://salt.tikicdn.com/cache/280x280/ts/product/c4/bc/cc/21e30a265d74c43a2f01b1dac081a37d.jpg,,vsmart
điện thoại samsung galaxy a12 (4gb/128gb) - đã kích hoạt bảo hành điện tử - hàng chính hãng,https://tiki.vn/dien-thoai-samsung-galaxy-a12-4gb-128gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p74935377.html,3.590.000 ₫,samsung,https://salt.tikicdn.com/cache/280x280/ts/product/c8/b9/99/083b9bd97b812c8f02bf9f64088a851e.jpg,,samsung
điện thoại oppo reno 5 (8gb/128g) - hàng chính hãng,https://tiki.vn/dien-thoai-oppo-reno-5-8gb-128g-hang-chinh-hang-p74489817.html,7.250.000 ₫,oppo,https://salt.tikicdn.com/cache/280x280/ts/product/3b/bc/93/99cfcf5400182bf7f17adb53141825c0.jpg,,oppo
điện thoại vsmart star 4 (2gb/16gb) - hàng chính hãng,https://tiki.vn/dien-thoai-vsmart-star-4-2gb-16gb-hang-chinh-hang-p59043368.html,1.785.000 ₫,vsmart,https://salt.tikicdn.com/cache/280x280/ts/product/c4/bc/cc/4d9c6ddebc9904b929c1823a8d1889f9.jpg,,vsmart
điện thoại vsmart active 3 - hàng chính hãng,https://tiki.vn/dien-thoai-vsmart-active-3-hang-chinh-hang-p46753117.html,3.290.000 ₫,vsmart,https://salt.tikicdn.com/cache/280x280/ts/product/e3/62/f1/ebf60b6c592974d72877b3b021bb58d8.jpg,6gb/64gb,vsmart
điện thoại xiaomi poco x3 - hàng chính hãng,https://tiki.vn/dien-thoai-xiaomi-poco-x3-128gb-ram-6gb-hang-chinh-hang-p67057190.html,4.990.000 ₫,xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/01/ca/08/6fdc7404415e546bb209c5253219fad1.png,6gb+64gb,xiaomi
điện thoại iphone 11 64gb - hàng nhập khẩu,https://tiki.vn/dien-thoai-iphone-11-64gb-hang-nhap-khau-p34016501.html,15.550.000 ₫,apple,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,,iphone
điện thoại vsmart star 5 (3gb/32gb) - hàng chính hãng,https://tiki.vn/dien-thoai-vsmart-star-5-3gb-32gb-hang-chinh-hang-p85255906.html,2.360.000 ₫,vsmart,https://salt.tikicdn.com/cache/280x280/ts/product/67/49/ef/f6ac7c4c1d3f40a0111e81d0b08d5acc.jpg,,vsmart
điện thoại realme c15 (4gb/64g) - hàng chính hãng,https://tiki.vn/dien-thoai-realme-c15-4gb-64g-hang-chinh-hang-p73174156.html,3.090.000 ₫,realme,https://salt.tikicdn.com/cache/280x280/ts/product/59/ec/01/dcdc5f21defb3e18d6cf43833cd0e92d.jpg,,realme
điện thoại samsung galaxy a11 (32gb/3gb) - hàng chính hãng - (đã kích hoạt bảo hành điện tử),https://tiki.vn/dien-thoai-samsung-galaxy-a11-32gb-3gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p54913203.html,2.639.000 ₫,samsung,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,,samsung
điện thoại xiaomi poco x3 pro - hàng chính hãng,https://tiki.vn/dien-thoai-xiaomi-poco-x3-pro-hang-chinh-hang-p87645053.html,5.690.000 ₫,xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/4b/e7/d8/070ab98e1f0e48d2a69c1845f67ac792.png,6gb l 128gb,xiaomi
điện thoại oppo reno 3 pro (8gb/256gb) - hàng chính hãng,https://tiki.vn/dien-thoai-oppo-reno-3-pro-8gb-256gb-hang-chinh-hang-p54028954.html,6.490.000 ₫,oppo,https://salt.tikicdn.com/cache/280x280/ts/product/34/b8/e7/0377d91e4e30c48bdd1577ba128ca3be.jpg,,oppo
điện thoại samsung galaxy s21 ultra 5g (12gb/128gb) - hàng chính hãng,https://tiki.vn/dien-thoai-samsung-galaxy-s21-ultra-hang-chinh-hang-p74810915.html,21.814.000 ₫,samsung,https://salt.tikicdn.com/cache/280x280/ts/product/c5/f1/57/e1ce9edeb8c87db9ec4adf5bbe6a1344.png,,samsung
điện thoại iphone 11 128gb - hàng nhập khẩu,https://tiki.vn/dien-thoai-iphone-11-128gb-hang-nhap-khau-p33996665.html,17.000.000 ₫,apple,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,,iphone
điện thoại vsmart joy 3 - hàng chính hãng,https://tiki.vn/dien-thoai-vsmart-joy-3-hang-chinh-hang-p48524359.html,2.790.000 ₫,vsmart,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,4gb/64gb,vsmart
điện thoại xiaomi redmi note 9 (3gb/64gb) - hàng chính hãng,https://tiki.vn/dien-thoai-xiaomi-redmi-note-9-3gb-64gb-hang-chinh-hang-p55584843.html,3.349.000 ₫,xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/c3/9d/ce/2f2cf3e1bf16b2a2a482641dca62fe73.png,,xiaomi
điện thoại samsung galaxy m11 (3gb/32gb) - hàng chính hãng,https://tiki.vn/dien-thoai-samsung-galaxy-m11-3gb-32gb-hang-chinh-hang-p52717588.html,2.750.000 ₫,samsung,https://salt.tikicdn.com/cache/280x280/ts/product/9a/d8/a2/ee6fd1f6a847e1d234c46eb5666cb129.jpg,,samsung
điện thoại samsung galaxy a10s (2gb/32gb) - hàng chính hãng,https://tiki.vn/dien-thoai-samsung-galaxy-a10s-32gb-2gb-hang-chinh-hang-p25918805.html,2.629.000 ₫,samsung,https://salt.tikicdn.com/cache/280x280/ts/product/d7/84/2e/cb10342d637fe64e335dbd27f4f1700c.jpg,,samsung
điện thoại iphone 12 pro max 128gb - hàng chính hãng,https://tiki.vn/dien-thoai-iphone-12-pro-max-128gb-hang-chinh-hang-p70771651.html,29.750.000 ₫,apple,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,128gb,iphone
điện thoại iphone 12 pro 128gb - hàng chính hãng,https://tiki.vn/dien-thoai-iphone-12-pro-128gb-hang-chinh-hang-p71198345.html,26.999.000 ₫,apple,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,128gb,iphone
điện thoại xiaomi redmi note 10 (4gb/64gb) - hàng chính hãng,https://tiki.vn/dien-thoai-xiaomi-redmi-note-10-4gb-64gb-hang-chinh-hang-p85042408.html,4.090.000 ₫,xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/41/d5/c9/dfa4b2a4de2c80bf23bf0b50bd1d8b03.jpg,,xiaomi
điện thoại vsmart aris (8gb/128gb) - hàng chính hãng,https://tiki.vn/dien-thoai-vsmart-aris-8gb-128gb-hang-chinh-hang-p73113762.html,5.790.000 ₫,vsmart,https://salt.tikicdn.com/cache/280x280/ts/product/d6/cf/3c/c00776b660a8b18c391ac3c8402028d4.jpg,,vsmart
điện thoại samsung galaxy a12 (4gb/128gb) - hàng chính hãng,https://tiki.vn/dien-thoai-samsung-galaxy-a12-4gb-128gb-hang-chinh-hang-p74932860.html,4.190.000 ₫,samsung,https://salt.tikicdn.com/cache/280x280/ts/product/09/90/19/e692e2fdc1810e5b792b07b3ddfe5e9d.jpg,,samsung
điện thoại xiaomi poco x3 nfc (6gb/128gb) - hàng chính hãng,https://tiki.vn/dien-thoai-xiaomi-poco-x3-nfc-6gb-128gb-hang-chinh-hang-p73655906.html,5.390.000 ₫,xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/b6/fa/cf/c4914b92e3e00de064f07aa3e0fb1608.jpg,,xiaomi
điện thoại iphone 12 pro 256gb - hàng chính hãng,https://tiki.vn/dien-thoai-iphone-12-pro-256gb-hang-chinh-hang-p71198812.html,28.990.000 ₫,apple,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,256gb,iphone
điện thoại iphone 12 pro 128gb - hàng chính hãng,https://tiki.vn/dien-thoai-iphone-12-pro-128gb-hang-chinh-hang-p71198345.html,26.990.000 ₫,apple,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,128gb,iphone
điện thoại samsung galaxy a12 (4gb/128gb) - hàng chính hãng,https://tiki.vn/dien-thoai-samsung-galaxy-a12-4gb-128gb-hang-chinh-hang-p74932860.html,3.650.000 ₫,samsung,https://salt.tikicdn.com/cache/280x280/ts/product/09/90/19/e692e2fdc1810e5b792b07b3ddfe5e9d.jpg,,samsung
