name,url,price,ram,rom,image,category
điện thoại vivo u10 xanh huỳnh quang,https://www.nguyenkim.com/dien-thoai-vivo-u10-xanh-huynh-quang.html,2990000, 4 gb , 64 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vivo
điện thoại samsung galaxy a01 core đen,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a01-core-den.html,1650000, 1 gb , 16 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy a01 core đỏ,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a01-core-do.html,1650000, 1 gb , 16 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy note 20 ultra đồng,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-note-20-ultra-dong.html,27990000, 8 gb , 256 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại iphone se 128gb trắng (2020),https://www.nguyenkim.com/dien-thoai-iphone-se-128gb-trang-2020.html,9990000, 3 gb , 128 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,iphone
điện thoại nokia 5.4 xanh,https://www.nguyenkim.com/dien-thoai-nokia-5-4-xanh.html,3590000, 4gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,nokia
điện thoại vsmart active 3 (6gb/64gb) xanh sapphire,https://www.nguyenkim.com/dien-thoai-vsmart-active-3-6gb-64gb-xanh-sapphire.html,3590000, 6 gb , 64 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại samsung galaxy a72 4g 8gb/256gb tím,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a72-4g-8gb-256gb-tim.html,10690000, 8gb , 256gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy a51 128gb đen,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a51-128gb-vi-2.html,6490000, 6gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy a51 bạc độc đáo,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a51-bac-doc-dao.html,6490000, 6 gb , 128 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại samsung galaxy note 20 ultra đen,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-note-20-ultra-den.html,27990000, 8 gb , 256 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại vsmart active 3 (6gb/64gb) đen thạch anh,https://www.nguyenkim.com/vsmart-active-3-6gb-64gb-den-thach-anh.html,3590000, 6 gb , 64 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại vsmart joy 4 (4gb/64gb) đen cẩm thạch,https://www.nguyenkim.com/dien-thoai-vsmart-joy-4-4gb-64gb-den-cam-thach.html,3040000, 4 gb , 64 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại xiaomi redmi 9 4gb/64gb xám,https://www.nguyenkim.com/dien-thoai-xiaomi-redmi-9-4gb-64gb-xam.html,3290000, 4gb , 64gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,xiaomi
điện thoại vsmart joy 4 (3gb/64gb) đen cẩm thạch,https://www.nguyenkim.com/dien-thoai-vsmart-joy-4-3gb-64gb-den-cam-thach.html,2690000, 3gb , 64gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại samsung galaxy a51 128gb xanh,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a51-128gb-92406.html,6490000, 6gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,samsung
điện thoại oppo a93 (8gb/128gb) trắng,https://www.nguyenkim.com/dien-thoai-oppo-a93-8gb-128gb-trang.html,5990000, 8gb , 128gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,oppo
điện thoại vsmart active 3 (6gb/64gb) xanh lục bảo,https://www.nguyenkim.com/vsmart-active-3-6gb-64gb-xanh-luc-bao.html,3590000, 6 gb , 64 gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
điện thoại vsmart joy 4 (3gb/64gb) xanh ngọc lam,https://www.nguyenkim.com/dien-thoai-vsmart-joy-4-3gb-64gb-xanh-ngoc-lam.html,2690000, 3gb , 64gb ,https://cdn.nguyenkimmall.com/design/themes/responsive/media/images/lazy_img.jpg,vsmart
