name,url,price,ram,rom,image,category
xiaomi mi 10t pro 5g 8/128gb,https://viettelstore.vn/dien-thoai/xiaomi-mi-10t-pro-5g-8-128gb-pid181171.html,10490000,8gb,128gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi%20mi%2010t%20pro%205g%208gb-128gb-blu-1.jpg,xiaomi
realme 7i,https://viettelstore.vn/dien-thoai/realme-7i-pid157208.html,6090000,8gb,128gb/ khả dụng 113gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/realme%207i-blu-1.jpg,realme
vivo y1s,https://viettelstore.vn/dien-thoai/vivo-y1s-pid152260.html,2290000,2gb,32gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/vivo-y1s-blac-1.jpg,vivo
samsung galaxy note20,https://viettelstore.vn/dien-thoai/samsung-galaxy-note20-pid149233.html,19990000,8gb,256gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/care-ss-note20-mint-1.jpg,samsung
vivo y20,https://viettelstore.vn/dien-thoai/vivo-y20-pid155473.html,3990000,4gb,64gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/'vv%20y20-blu-1.jpg,vivo
xiaomi redmi 9c 2/32gb,https://viettelstore.vn/dien-thoai/xiaomi-redmi-9c-2-32gb-pid153256.html,2250000,2gb,32gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-redmi-9c-18th.jpg,xiaomi
vivo y30,https://viettelstore.vn/dien-thoai/vivo-y30-pid150090.html,4490000,4 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/vivo-y30-xanh.jpg,vivo
xiaomi mi poco f2 pro 6/128gb,https://viettelstore.vn/dien-thoai/xiaomi-mi-poco-f2-pro-6-128gb-pid179853.html,9250000,6 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-mi-poco-f2-pro-6-128gb.jpg,xiaomi
xiaomi mi poco f2 pro 8/256gb,https://viettelstore.vn/dien-thoai/xiaomi-mi-poco-f2-pro-8-256gb-pid179855.html,10250000,8 gb,256 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/xiaomi-mi-poco-f2-pro-8-6128gb.jpg,xiaomi
vivo y51 2020,https://viettelstore.vn/dien-thoai/vivo-y51-2020-pid179574.html,6290000,8 gb,128 gb,https://cdn1.viettelstore.vn/images/product/productimage/medium/vivo-y51-2020-sil-1.jpg,vivo
