name,url,price,ram,rom,image,category
samsung galaxy s20 ultra 128gb (cty) cũ,https://didongviet.vn/samsung-galaxy-s20-ultra-128gb-cty-cu,14990000,ram: 12 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//g/a/galaxy-s20-ultra-128gb-cu-didongviet.jpeg,samsung
"samsung galaxy note 20 ultra sm-n985f/ds 256gb (cty, cũ) ",https://didongviet.vn/samsung-galaxy-note-20-ultra-sm-n985f-ds-256gb-cty,17590000,ram: 12 gb,bộ nhớ trong: 256 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-note-20-ultra-didongviet.jpg,samsung
"samsung galaxy s20 ultra 128gb (cty) (fullbox,cũ)",https://didongviet.vn/samsung-galaxy-s20-ultra-128gb-cty-fullbox-cu,15990000,ram: 12 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//g/a/galaxy-s20-ultra-128gb-cu-den-didongviet.jpeg,samsung
"samsung galaxy a31 sm-a315g/ds 128gb (cty) (fullbox, cũ ) ",https://didongviet.vn/samsung-galaxy-a31-sm-a315g-ds-128gb-cty-fullbox-cu,3990000,ram: 6 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a31-didongviet_2.jpg,samsung
samsung galaxy a30s sm-a307gn/ds 64gb (cty),https://didongviet.vn/samsung-galaxy-a30s-sm-a307gn-ds-64gb-cty,2190000,ram: 4 gb,bộ nhớ trong: 64 gb,https://didongviet.vn/pub/media/catalog/product//g/a/galaxy-a30s-xanh-didongviet_1_2.jpg,samsung
"samsung galaxy a21s sm-a217f/ds ( 6gb|64gb), cũ",https://didongviet.vn/samsung-galaxy-a21s-sm-a217f-ds-64gb,2590000,ram: 6 gb,bộ nhớ trong: 64 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a21-didongviet_2.jpg,samsung
samsung galaxy a21s sm-a217f/ds 32gb (cty),https://didongviet.vn/samsung-galaxy-a21s-sm-a217f-ds-32gb-cty,2990000,ram: 3 gb,bộ nhớ trong: 32 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a21-didongviet.jpg,samsung
"samsung galaxy a12 sm-a125f/ds 128gb (cty) (fullbox,cũ) ",https://didongviet.vn/samsung-galaxy-a12-sm-a125f-ds-128gb-cty-fullbox-cu,2790000,ram: 6 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a01core-didongviet__1.jpg,samsung
"samsung galaxy a01 core sm-a013g/ds 16gb (cty) (fullbox, cũ ) ",https://didongviet.vn/samsung-galaxy-a01-core-sm-a013g-ds-16gb-cty-fullbox,1390000,ram: 1 gb,bộ nhớ trong: 16 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a01core-didongviet.jpg,samsung
"samsung galaxy a01 16gb (cty) ( fullbox, cũ )",https://didongviet.vn/samsung-galaxy-a01-16gb-cty-fullbox-cu,1990000,ram: 2 gb,bộ nhớ trong: 16 gb,https://didongviet.vn/pub/media/catalog/product//g/a/galaxy-a01-didongviet_1.jpg,samsung
oppo a74,https://didongviet.vn/oppo-a74,,ram: 8 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//o/p/oppo-a74-didongviet_1_.jpg,oppo
xiaomi redmi 9t (6gb|128gb),https://didongviet.vn/xiaomi-redmi-9t,4490000,ram: 6 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-redmi-9t-6gb-128gb.jpg,xiaomi
samsung galaxy s9 sm-g960 64gb (bản nhật) cũ,https://didongviet.vn/samsung-galaxy-s9-sm-g960-ban-nhat-64gb,4190000,ram: 4 gb,bộ nhớ trong: 64 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-s9-sm-g960-ban-nhat-64gb.jpg,samsung
"samsung galaxy a02s (4gb|64gb) (nguyên seal, bhđt)",https://didongviet.vn/samsung-galaxy-a02s-bhdt,2990000,ram: 4 gb,bộ nhớ trong: 64 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a02s_3.jpg,samsung
"samsung galaxy a72 (8gb|256gb) (nguyên seal, bhđt)",https://didongviet.vn/samsung-galaxy-a72-bhdt,9790000,ram: 8 gb,bộ nhớ trong: 256 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a72-xanh_1.jpg,samsung
"samsung galaxy a52 (8gb|128gb) (nguyên seal, bhđt)",https://didongviet.vn/samsung-galaxy-a52-bhdt,7790000,ram: 8 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a52-5g_1.jpg,samsung
vsmart star 5 (3gb|32gb),https://didongviet.vn/vsmart-star-5-3gb-32gb,2390000,ram: 3 gb,bộ nhớ trong: 32gb,https://didongviet.vn/pub/media/catalog/product//d/i/dien-thoai-vsmart-star-5-didongviet_1-min.jpg,vsmart
redmi note 10 pro (8gb|128gb),https://didongviet.vn/xiaomi-redmi-note-10-pro-8gb,6990000,ram: 8 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-redmi-note-10-pro-8gb-128gb.jpg,other
oppo a15 (3gb|32gb),https://didongviet.vn/oppo-a15,3190000,ram: 3 gb,bộ nhớ trong: 32 gb,https://didongviet.vn/pub/media/catalog/product//o/p/oppo-a15_1.jpg,oppo
samsung galaxy a71 (8gb|128gb) cũ (cty),https://didongviet.vn/samsung-galaxy-a71-8gb-128gb-cu-cty,5990000,ram: 8gb,bộ nhớ trong: 128gb,https://didongviet.vn/pub/media/catalog/product//g/a/galaxy-a71-xanh-didongviet_4.jpg,samsung
samsung galaxy z fold2 5g (phiên bản spring 2021),https://didongviet.vn/samsung-galaxy-z-fold-2-5g-phien-ban-spring-2021,45990000,ram: 12 gb,bộ nhớ trong: 256 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-z-fold-2-5g-phien-ban-dac-biet-spring-2021.jpg,samsung
xiaomi mi 10t pro (8gb|128gb) ,https://didongviet.vn/xiaomi-mi-10t-pro-128gb,9990000,ram: 8gb,bộ nhớ trong: 128gb,https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-mi-10t-pro-128gb.jpg,xiaomi
nokia 8000 4g,https://didongviet.vn/nokia-8000-4g-cty,1690000,ram: 512 mb,bộ nhớ trong: 4 gb,https://didongviet.vn/pub/media/catalog/product//n/o/nokia-8000-4g.jpg,nokia
samsung galaxy a32 (6gb|128gb),https://didongviet.vn/samsung-galaxy-a32,5990000,ram: 6 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a32_1.jpg,samsung
samsung galaxy a02s (4gb|64gb),https://didongviet.vn/samsung-galaxy-a02s,3390000,ram: 4 gb,bộ nhớ trong: 64 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a02s.jpg,samsung
samsung galaxy a12 (4gb|128gb),https://didongviet.vn/samsung-galaxy-a12,3690000,ram: 4 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a12.jpg,samsung
realme c15 (4gb|64gb),https://didongviet.vn/realme-c15-4gb-64gb,3790000,ram: 4 gb,bộ nhớ trong: 64 gb,https://didongviet.vn/pub/media/catalog/product//r/e/realme-c15-didongviet_1.jpg,realme
realme 7i (8gb|128gb),https://didongviet.vn/realme-7i-8gb-128gb,5690000,ram: 8gb,bộ nhớ trong: 128gb,https://didongviet.vn/pub/media/catalog/product//r/e/realme-7i-didongviet.jpg,realme
samsung galaxy tab a7 (2020),https://didongviet.vn/samsung-galaxy-tab-a7,7290000,ram: 3 gb,bộ nhớ trong (rom): 64 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-tab-a7-2020.jpg,samsung
samsung galaxy a52 (8gb|128gb),https://didongviet.vn/samsung-galaxy-a52,8390000,ram: 8 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a52-5g.jpg,samsung
xiaomi mi 10t pro (8gb|256gb),https://didongviet.vn/xiaomi-mi-10t-pro-5g,10790000,ram: 8gb,bộ nhớ trong: 256gb,https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-mi-10t-pro-5g.jpg,xiaomi
xiaomi poco x3 (6gb|128gb),https://didongviet.vn/xiaomi-poco-x3,5890000,ram: 6 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-poco-x3.jpg,xiaomi
vsmart joy 4 (3gb|64gb) ,https://didongviet.vn/vsmart-joy-4-3gb,2690000,ram: 3 gb,bộ nhớ trong: 64 gb,https://didongviet.vn/pub/media/catalog/product//v/s/vsmart-joy-4-didongviet.jpg,vsmart
realme c12 (3gb| 32gb),https://didongviet.vn/realme-c12,3090000,ram: 3 gb,bộ nhớ trong: 32 gb,https://didongviet.vn/pub/media/catalog/product//r/e/realme-c12.jpg,realme
oppo a53 (4gb|128gb),https://didongviet.vn/oppo-a53,4190000,ram: 4 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//o/p/oppo-a53_1.jpg,oppo
vsmart aris pro (8gb|128gb),https://didongviet.vn/vsmart-aris-pro,7560000,ram: 8 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//v/s/vsmart-aris-pro-8gb-128gb.jpg,vsmart
"samsung galaxy a31 (6gb|128gb) (nguyên seal, bhđt)",https://didongviet.vn/samsung-galaxy-a31-128gb,4790000,ram: 6gb,bộ nhớ trong: 128gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a31_1.jpg,samsung
xiaomi redmi 9c (3gb|64gb),https://didongviet.vn/xiaomi-redmi-9c-64gb,2790000,ram: 3 gb,bộ nhớ trong: 64 gb,https://didongviet.vn/pub/media/catalog/product//x/i/xiaomi-redmi-9c-64gb.jpg,xiaomi
samsung galaxy a72 (8gb|256gb),https://didongviet.vn/samsung-galaxy-a72,10390000,ram: 8 gb,bộ nhớ trong: 256 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a72-xanh.jpg,samsung
realme 6i (4gb|128gb),https://didongviet.vn/realme-6i-4gb-128gb,4390000,ram: 4 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//r/e/realme-6i-4gb-128gb.jpg,realme
"samsung galaxy a12 (4gb|128gb) (nguyên seal, bhđt)",https://didongviet.vn/samsung-galaxy-a12-da-kich-hoat,3590000,ram: 4 gb,bộ nhớ trong: 128 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a12_2_1.jpg,samsung
samsung galaxy a71 (8gb|128gb) cũ (fullbox),https://didongviet.vn/samsung-galaxy-a71-128gb-likenew,6790000,ram: 8gb,bộ nhớ trong: 128gb,https://didongviet.vn/pub/media/catalog/product//g/a/galaxy-a71-trang-didongviet_1_1_1_1_1.jpg,samsung
samsung galaxy note 10 plus (12gb|256gb) cũ,https://didongviet.vn/samsung-galaxy-note-10-plus-12gb-256gb-cty-like-new,12390000,ram: 12 gb,bộ nhớ trong: 256gb,https://didongviet.vn/pub/media/catalog/product//g/a/galaxy-note-10-den-didongviet-1_1_1.jpg,samsung
"samsung galaxy a51 (6gb|128gb) (fullbox, cũ)",https://didongviet.vn/samsung-galaxy-a51-6gb-128gb-likenew,4790000,ram: 6gb,bộ nhớ trong: 128gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a51_3.jpg,samsung
samsung galaxy a50s (4gb|64gb) cũ (fullbox),https://didongviet.vn/samsung-galaxy-a50s-4gb-64gb-cty-likenew,3590000,ram: 4gb,bộ nhớ trong: 64gb,https://didongviet.vn/pub/media/catalog/product//-/g/-galaxy-a50s-xanh-didongviet-1.jpg,samsung
samsung galaxy a21s (3gb|32gb),https://didongviet.vn/samsung-galaxy-a21s,4290000,ram: 3 gb,bộ nhớ trong: 32 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a21s_2.jpg,samsung
xiaomi redmi note 9s (4gb|64gb) ,https://didongviet.vn/redmi-note-9s,4590000,ram: 4 gb,bộ nhớ trong: 64 gb,https://didongviet.vn/pub/media/catalog/product//r/e/redmi-note-9s.jpg,xiaomi
samsung galaxy a01 (2gb|16gb),https://didongviet.vn/samsung-galaxy-a01-2gb-16gb-cty,2590000,ram: 2 gb,bộ nhớ trong: 16 gb,https://didongviet.vn/pub/media/catalog/product//g/a/galaxy-a01-xanh-didongviet-2.jpg,samsung
samsung galaxy z fold2 5g,https://didongviet.vn/galaxy-z-fold-2,41990000,ram: 12 gb,bộ nhớ trong: 256 gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-z-fold-2.jpg,samsung
samsung galaxy a31 (6gb|128gb),https://didongviet.vn/samsung-galaxy-a31,5890000,ram: 6gb,bộ nhớ trong: 128gb,https://didongviet.vn/pub/media/catalog/product//s/a/samsung-galaxy-a31.jpg,samsung
