Tên,Link,Giá,Ảnh,Hệ điều hành,Loại màn hình,Camera sau,Camera trước,Chipset,RAM,Bộ nhớ trong (ROM)
Điện Thoại Vivo S1 Pro( 8+128GB) Trắng,https://pico.vn/40660/dien-thoai-di-dong-vivo-1920s1-pro-8128gb-trang-thoi-thuong-fancy-sky.html,4890000,https://cdn.pico.vn/Product/40660/347041_untitled-1.jpg,Android 9.0 (Pie),6.38 inch Super AMOLED Full HD+ (1080 x 2340 Pixels),48 MP+ 8 MP+ 2 MP+ 2 MP,32.0Mp,Snapdragon 665,8 Gb,128 GB
Iphone 11 Pro Silver 64 Gb,https://pico.vn/40653/dien-thoai-di-dong-iphone-11-pro-silver-64gbviemwc32vna--kit-viettel.html,24490000,https://cdn.pico.vn/Product/40653/346854_iphone-11-pro-max-silver-select-2019.jpg,iOS 13,OLED Super Retina XDR,3 camera 12 MP,12 MP,Apple A13 Bionic 6 nhân,4 Gb,64 Gb
Samsung Galaxy A51 128GB Trắng,https://pico.vn/40652/dien-thoai-di-dong-samsung-a515fdsn-128gbtrang--galaxy-a51.html,6990000,https://cdn.pico.vn/Product/40652/346802_untitled-6.jpg,Android 9.0 (Pie),Super AMOLED,"Chính 48 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,,6 GB,128 GB
Samsung Galaxy A51 128GB Đen,https://pico.vn/40651/dien-thoai-di-dong-samsung-a515fdsn-128gb-den--galaxy-a51.html,6990000,https://cdn.pico.vn/Product/40651/346790_untitled-6.jpg,Android 9.0 (Pie),Super AMOLED,"Chính 48 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,,6 GB,128 GB
Samsung Galaxy A51 128GB Xanh,https://pico.vn/40629/dien-thoai-di-dong-samsung-a515fdsn-128gb-xanh--galaxy-a51.html,6990000,https://cdn.pico.vn/Product/40629/346745_untitled-1.jpg,Android 9.0 (Pie),Super AMOLED,"Chính 48 MP & Phụ 12 MP, 5 MP, 5 MP",32 MP,,6 GB,128 GB
Iphone 11 Pro Max Space Gray 256Gb,https://pico.vn/40575/dien-thoai-di-dong-iphone-11-pro-max-space-gray-256gbviemwhj2vna--kit-viettel.html,30990000,https://cdn.pico.vn/Product/40575/345552_untitled-1.jpg,Ios 13,OLED Super Retina XDR,3 camera 12 MP,12 MP,Apple A13 Bionic,4 Gb,256 Gb
Iphone 11 Pro Max Midnight Green 64GB,https://pico.vn/40534/dien-thoai-di-dong-iphone-11-pro-max-midnight-green-64gbviemwhh2vna--kit-viettel.html,26990000,https://cdn.pico.vn/Product/40534/344654_iphone-11-pro-max-midnight-green-select-2019.jpg,,OLED Super Retina XDR,3 camera 12 MP,12 MP,Apple A13 Bionic,4 Gb,64 Gb
Iphone 11 Pro Max Silver 64GB,https://pico.vn/40533/dien-thoai-di-dong-iphone-11-pro-max-silver-64gbviemwhf2vna--kit-viettel.html,26990000,https://cdn.pico.vn/Product/40533/344655_iphone-11-pro-max-silver-select-2019.jpg,,OLED Super Retina XDR,3 camera 12 MP,12 MP,Apple A13 Bionic,4 Gb,64 Gb
Điện Thoại Iphone 11 Pro Midnight Green 64GB-VIE-MWC62VN/A + Kit Viettel,https://pico.vn/40530/dien-thoai-di-dong-iphone-11-pro-midnight-green-64gbviemwc62vna--kit-viettel.html,24490000,https://cdn.pico.vn/Product/40530/344615_iphone-11-pro-max-midnight-green-select-2019.jpg,Ios 13,OLED Super Retina XDR,3 camera 12 MP,Trước 12MP,Apple A13 Bionic 6 nhân,4 Gb,Rom 64 GB
Điện Thoại Iphone 11 Pro Gold 64GB-VIE-MWC52VN/A + Kit Viettel,https://pico.vn/40529/dien-thoai-di-dong-iphone-11-pro-gold-64gbviemwc52vna--kit-viettel.html,24490000,https://cdn.pico.vn/Product/40529/344614_iphone-11-pro-max-gold-select-2019.jpg,iOS 13,OLED Super Retina XDR,3 camera 12 MP,12 MP,Apple A13 Bionic 6 nhân,Ram 4 GB,Rom 64 GB
Điện Thoại Iphone 11 Pro Space Gray 64GB-VIE-MWC22VN/A + Kit Viettel,https://pico.vn/40528/dien-thoai-di-dong-iphone-11-pro-space-gray-64gbviemwc22vna--kit-viettel.html,23990000,https://cdn.pico.vn/Product/40528/344613_iphone-11-pro-max-space-select-2019.jpg,Ios 13,OLED Super Retina XDR,3 camera 12 MP,Trước 12MP,Apple A13 Bionic 6 nhân,Ram 4 GB,Rom 64 GB
Điện Thoại Iphone 11 Pro Midnight Green 256GB-VIE-MWCC2VN/A + Kit Viettel,https://pico.vn/40440/dien-thoai-di-dong-iphone-11-pro-midnight-green-256gbviemwcc2vna--kit-viettel.html,28990000,https://cdn.pico.vn/Product/40440/342668_iphone11promg22.jpg,Ios 13,OLED Super Retina XDR,3 camera 12 MP,12 MP,Apple A13 Bionic,Ram 4 GB,256 Gb
Điện Thoại Vivo Y11 (3+32GB) Xanh Ngọc Bích,https://pico.vn/40439/dien-thoai-di-dong-vivo-1906-y11-332gb-xanh-ngoc-bich.html,2790000,https://cdn.pico.vn/Product/40439/342618_vivo-y11-xanh-duong-1-org.jpg,Android 9.0 (Pie),IPS LCD HD+,Camera sau: Chính 13 MP & Phụ 2 M.,Camera trước: 8 MP,Qualcomm 439,Ram 3GB,32GB
Điện Thoại Vivo Y11 (3+32GB) Đỏ San Hô,https://pico.vn/40438/dien-thoai-di-dong-vivo-1906-y11-332gb-do-san-ho.html,2790000,https://cdn.pico.vn/Product/40438/342627_untitled-2.jpg,Android 9.0 (Pie),IPS LCD HD+,Camera sau: Chính 13 MP & Phụ 2 M.,Camera trước: 8 MP,Qualcomm 439,Ram 3GB,32GB
Iphone 11 Pro Max Midnight Green 256GB,https://pico.vn/40434/dien-thoai-di-dong-iphone-11-pro-max-midnight-green-256gbviemwhm2vna--kit-viettel.html,30990000,https://cdn.pico.vn/Product/40434/342652_iphone11promg22.jpg,Ios 13,OLED Super Retina XDR,3 camera 12 MP,12 MP,Apple A13 Bionic,4 Gb,256 Gb
Iphone 11 Pro Max Gold 256GB,https://pico.vn/40433/dien-thoai-di-dong-iphone-11-pro-max-gold-256gbviemwhl2vna--kit-viettel.html,30990000,https://cdn.pico.vn/Product/40433/342635_iphone-11-pro-max-gold-select-2019.jpg,Ios 13,OLED Super Retina XDR,3 camera 12 MP,12 MP,Apple A13 Bionic,4 Gb,256 Gb
Iphone 11 Pro Max Silver 256GB,https://pico.vn/40432/dien-thoai-di-dong-iphone-11-pro-max-silver-256gbviemwhk2vna--kit-viettel.html,30990000,https://cdn.pico.vn/Product/40432/342642_iphone-11-pro-max-silver-select-2019.jpg,Ios 13,OLED Super Retina XDR,3 camera 12 MP,12 MP,Apple A13 Bionic,4 Gb,256 Gb
Iphone 11 Pro Max Gold 64GB,https://pico.vn/40431/dien-thoai-di-dong-iphone-11-pro-max-gold-64gbviemwhg2vna--kit-viettel.html,26990000,https://cdn.pico.vn/Product/40431/342631_iphone-11-pro-max-gold-select-2019.jpg,Ios 13,OLED Super Retina XDR,3 camera 12 MP,12 MP,Apple A13 Bionic,4 Gb,64 Gb
Iphone 11 Pro Max Space Gray 64Gb,https://pico.vn/40430/dien-thoai-di-dong-iphone-11-pro-max-space-gray-64gbviemwhd2vna--kit-viettel.html,26990000,https://cdn.pico.vn/Product/40430/342613_iphone-11-pro-space-select-2019.jpg,Ios 13,OLED Super Retina XDR,3 camera 12 MP,12 MP,Apple A13 Bionic,4 Gb,64 Gb
Điện Thoại Nokia 7.2 Màu Đen,https://pico.vn/40323/dien-thoai-di-dong-nokia-72-ta1196-ds-464-vn-charcoalmau-den.html,3990000,https://cdn.pico.vn/Product/40323/340204_fb.jpg,Android 9 Pie (Android One),IPS LCD,Sau : 48 MP + 5 MP + 8MP (3 camera),Trước 20MP,Snapdragon M660,4 GB,64GB
Điện Thoại Oppo A9 2020 Tím,https://pico.vn/40322/dien-thoai-di-dong-oppo-cph1937---a9-2020-tim.html,5490000,https://cdn.pico.vn/Product/40322/340013_dd.jpg,"ColorOS 6.0.1, nền tảng Android 9.0",TFT LCD,"48 MP + 8 MP + 2 MP + 2 MP, 4 camera",16.0 MP,,8G,128 GB
Điện Thoại Oppo A9 2020 Xanh,https://pico.vn/40321/dien-thoai-di-dong-oppo-cph1937---a9-2020-xanh.html,4990000,https://cdn.pico.vn/Product/40321/339997_dd.jpg,"ColorOS 6.0.1, nền tảng Android 9.0",TFT LCD,"48 MP + 8 MP + 2 MP + 2 MP, 4 camera",16.0 MP,,8G,"128 GB,"
Điện Thoại Nokia 3.2 TA 3/32GB Black,https://pico.vn/39550/dien-thoai-di-dong-nokia-32-ta1164-ds-332gb-vn-black.html,2590000,https://cdn.pico.vn/Product/39550/325837_dien_thoai_di_dong_nokia_3.2_ta-1164_ds_332gb_vn_black.jpg,Android 9 Pie (Android One),IPS LCD,13.0 MP,5 MP,Qualcomm Snapdragon 429,3 Gb,32 Gb
Điện Thoại Nokia 3.2 TA 2/16GB Black,https://pico.vn/39549/dien-thoai-di-dong-nokia-32-ta1156-ds-216gb-vn-black.html,2190000,https://cdn.pico.vn/Product/39549/325818_dien_thoai_di_dong_nokia_3.2_ta-1156_ds_216gb_vn_black.jpg,Android 9 Pie (Android One),IPS LCD,13.0 MP,5 MP,Qualcomm Snapdragon 429,2 Gb,16 Gb
Điện Thoại Di Động Nokia 6.1 Plus Black,https://pico.vn/38472/dien-thoai-di-dong-nokia-61-plus-ta1116-ds-vn-black11drgb21a09.html,2990000,https://cdn.pico.vn/Product/38472/301094_dien_thoai_di_dong_nokia_6.1_plus_ta-1116_ds_vn_black11drgb21a09.jpg,Android One,IPS LCD,16 MP + 5 MP,16MP,Qualcom Snapdragon 636,4GB,64 GB
Điện Thoại Di Động Nokia 3.1 2018 Blue,https://pico.vn/38135/dien-thoai-di-dong-nokia-31-2018--ta1063-ds-216-vn-blue.html,1490000,https://cdn.pico.vn/Product/38135/298175_nk1063bl.jpg,Android™ 8.0,Cảm ứng,13 MP,8.0 MP,Mediatek Helio P10 8 nhân 64-bit,2 Gb,16 Gb
Điện Thoại Nokia 8110 4G Đen,https://pico.vn/37694/dien-thoai-di-dong-nokia-8110-4g--black.html,1290000,https://cdn.pico.vn/Product/37694/293726_dien_thoai_di_dong_nokia_8110_4g_black.jpg,HĐH Smart Feature do KaiOS cung cấp,QVGA màn hình uốn cong,2 MP,Có,"CPU MSM8905 Dual Core 1,1 GHz",512 MB,4 GB
Nokia 7 Plus NK1046 Trắng,https://pico.vn/37693/dien-thoai-di-dong-nokia-7-plus-ta1046-ds-464-vn-white-mau-trang.html,3290000,https://cdn.pico.vn/Product/37693/293720_dien_thoai_di_dong_nokia_7_plus_ta-1046_ds_464_vn_white_mau_trang.jpg,Android Oreo,IPS LCD,"12 MP 1.4µm f/1.75 2PD với ống kính ZEISS, 13 MP 1.0µm f/2.6 với ống kính ZEISS, đèn flash tông kép",16 MP với ống kính ZEISS,CPU Qualcomm® Snapdragon™ 660,RAM 4 GB LPDDR4,64 GB
Điện Thoại Iphone 12 Pro Max Silver 128GB - MGD83VN/A,https://pico.vn/42190/dien-thoai-di-dong-iphone-12-pro-max-silver-128gb--mgd83vna.html,29090000,https://cdn.pico.vn/Product/42190/367041_apple-iphone-12-pro-max-256g-silver-2020-nyq3bg.jpg,iOS 14,6.7 inch Super Retina XDR,Sau: 3 Cam 12 MP.,Trước 12MP,Apple A14 Bionic,6 GB,128 GB
Điện Thoại Samsung Galaxy A32 (6GB/128GB) Tím,https://pico.vn/42184/dtdd-samsung-ssa325v-a32-helio-g806gb128gb64android-115000-mah4-cam--1-camtim1y.html,6390000,https://cdn.pico.vn/Product/42184/367013_3.jpg,Android 11,Super AMOLED 6.4 inch Full HD+ (1080 x 2400 Pixels),"Sau: 64Mp,8Mp,5Mp,5Mp (4 camera)",Trước 20MP,"Helio G80 8 nhân, Ram 6G",6 GB,128 GB
Điện Thoại Samsung Galaxy A32 (6GB/128GB) Xanh,https://pico.vn/42183/dtdd-samsung-ssa325bl-a32-helio-g806gb128gb64android-115000-mah4-cam--1-camxanh1y.html,6390000,https://cdn.pico.vn/Product/42183/366989_3.jpg,Android 11,Super AMOLED 6.4 inch Full HD+ (1080 x 2400 Pixels),"Sau: 64Mp,8Mp,5Mp,5Mp (4 camera)",Trước 20 MP,"Helio G80 8 nhân, Ram 6G",6 GB,128GB
Điện Thoại Samsung Galaxy A32 (6GB/128GB) Đen,https://pico.vn/42182/dtdd-samsung-ssa325b-a32-helio-g806gb128gb64android-115000-mah4-cam--1-camden1y.html,6390000,https://cdn.pico.vn/Product/42182/366983_untitled-1.jpg,Android 11,Super AMOLED 6.4 inch Full HD+ (1080 x 2400 Pixels),"Sau: 64Mp,8Mp,5Mp,5Mp (4 camera)",Trước : 20MP,"Helio G80 8 nhân, Ram 6G",6 GB,128GB
Điện Thoại Samsung Galaxy A52 (8GB/128GB ) Tím,https://pico.vn/42181/dtdd-samsung-ssa525v-a52-snap7208gb128gb65android-104-cam--1-camtim1y.html,8690000,https://cdn.pico.vn/Product/42181/366961_1.jpg,,6.5 inch Super AMOLED FHD+ (1080 x 2160 Pixels),"64 MP,12 MP,5MP,5 MP (4 camera)",32 MP(camera trước ),"Snapdragon 720 8 nhân, Ram 8GB",8 GB,128GB
Điện Thoại Samsung Galaxy A52 (8GB/128GB ) Đen,https://pico.vn/42180/dtdd-samsung-ssa525b-a52-snap7208gb128gb65android-104-cam--1-camden1y.html,8690000,https://cdn.pico.vn/Product/42180/366973_a52-1.jpg,,6.5 inch Super AMOLED FHD+ (1080 x 2160 Pixels),"64 MP,12 MP,5MP,5 MP (4 camera)",32 MP(camera trước ),"Snapdragon 720 8 nhân, Ram 8GB",8 GB,128 GB
Điện Thoại Samsung Galaxy A52 (8GB/128GB ) Xanh,https://pico.vn/42179/dtdd-samsung-ssa525bl-a52-snap7208gb128gb65android-104-cam--1-camxanh1y.html,8690000,https://cdn.pico.vn/Product/42179/366953_1.jpg,,6.5 inch Super AMOLED FHD+ (1080 x 2160 Pixels),"64 MP,12 MP,5MP,5 MP (4 camera)",32 MP(camera trước ),"Snapdragon 720 8 nhân, Ram 8GB",8 GB,128 GB
Điện Thoại Samsung Galaxy A72 (8GB/256GB ) Trắng,https://pico.vn/42176/dtdd-samsung-ssa725w-a72-snap7208gb256gb67android-114-cam--1-camtrang1y.html,10990000,https://cdn.pico.vn/Product/42176/366921_samsung-galaxy-a72-322.jpg,,6.7 inch Super AMOLED FHD+ (1080 x 2400 Pixels),"64 MP,12 MP,8MP,5 MP (4 camera)",32 MP(camera trước ),"Snapdragon 720 8 nhân, Ram 8GB",8 GB,256 Gb
Điện Thoại Samsung Galaxy A72 (8GB/256GB ) Tím,https://pico.vn/42175/dtdd-samsung-ssa725v-a72-snap7208gb256gb67android-114-cam--1-camtim1y.html,10990000,https://cdn.pico.vn/Product/42175/366909_samsung-galaxy-a72-31.jpg,,6.7 inch Super AMOLED FHD+ (1080 x 2400 Pixels),"64 MP,12 MP,8MP,5 MP (4 camera)",32 MP(camera trước ),"Snapdragon 720 8 nhân, Ram 8GB",8 GB,256 Gb
Điện Thoại Samsung Galaxy A72 (8GB/256GB ) Xanh,https://pico.vn/42174/dtdd-samsung-ssa725bl-a72-snap7208gb256gb67android-114-cam--1-camxanh1y.html,10990000,https://cdn.pico.vn/Product/42174/366902_samsung-galaxy-a72-30.jpg,,6.7 inch Super AMOLED FHD+ (1080 x 2400 Pixels),"64 MP,12 MP,8MP,5 MP (4 camera)",32 MP(camera trước ),"Snapdragon 720 8 nhân, Ram 8GB",Ram 8GB,"256 GB,"
Điện Thoại Samsung Galaxy A72 (8GB/256GB ) Đen,https://pico.vn/42173/dtdd-samsung-ssa725b-a72-snap7208gb256gb67android-114-cam--1-camden1y.html,10990000,https://cdn.pico.vn/Product/42173/366896_samsung-galaxy-a72-291.jpg,,6.7 inch Super AMOLED FHD+ (1080 x 2400 Pixels),"64 MP,12 MP,8MP,5 MP (4 camera)",32 MP(camera trước ),"Snapdragon 720 8 nhân, Ram 8GB",Ram 8 GB,256GB
Điện Thoại Iphone 11 Black 128GB MHDH3VN/A,https://pico.vn/42131/dien-thoai-di-dong-iphone-11-black-128gb-mhdh3vna.html,17390000,https://cdn.pico.vn/Product/42131/366335_71i2xhhu3pl.jpg,iOS 14,,Sau: 2 Camera 12 MP,Trước 12MP,"Apple A13 Bionic,",Ram 4 GB,Rom 128 GB
Điện Thoại Samsung Galaxy A02s (4/64GB) Trắng,https://pico.vn/42128/dien-thoai-di-dong-samsung-sma025-464gb-trang--galaxy-a02s.html,3390000,https://cdn.pico.vn/Product/42128/366396_untitled-1.jpg,Android 10,"6.5"" HD+ (720 x 1600 Pixels)","Sau : 13 MP & Phụ 2 MP, 2 MP (3 camera)",Trước : 5 MP,Snapdragon 450 8 nhân,Ram 4GB,64GB
Điện Thoại Samsung Galaxy A02s(4/64GB) Xanh,https://pico.vn/42127/dien-thoai-di-dong-samsung-sma025-464gb-xanh--galaxy-a02s.html,3390000,https://cdn.pico.vn/Product/42127/366384_untitled-1.jpg,Android 10,"6.5"" HD+ (720 x 1600 Pixels)","Sau : 13 MP & Phụ 2 MP, 2 MP (3 camera)",Trước : 5 MP,Snapdragon 450 8 nhân,Ram 4 GB,64 GB
Điện Thoại Samsung Galaxy A02s (4/64GB),https://pico.vn/42126/dien-thoai-di-dong-samsung-sma025-464gb-den--galaxy-a02s.html,3390000,https://cdn.pico.vn/Product/42126/366372_untitled-1.jpg,Android 10,"6.5"" HD+ (720 x 1600 Pixels)","Sau : 13 MP & Phụ 2 MP, 2 MP (3 camera)",Trước : 5 MP,Snapdragon 450 8 nhân,Ram 4 GB,Rom 64 GB
Điện Thoại Iphone 12 Pro Pacific Blue 128GB - MGMN3VN/A,https://pico.vn/42065/dien-thoai-di-dong-iphone-12-pro-pacific-blue-128gb--mgmn3vna.html,26390000,https://cdn.pico.vn/Product/42065/365728_gs.jpg,iOS 14,6.1 inch Super Retina XDR,3 Cam 12 MP,Trước 12MP,,6 GB,128 GB
Điện Thoại Iphone 12 Pro Max Gold 256GB - MGDE3VN/A,https://pico.vn/42018/dien-thoai-di-dong-iphone-12-pro-max-gold-256gb--mgde3vna.html,31890000,https://cdn.pico.vn/Product/42018/365251_364909apple-iphone-12-pro-max-128g-gold-2020-n9aoyc.jpg,iOS 14,6.7 inch Super Retina XDR,Sau: 3 Cam 12 MP.,Trước 12MP,Apple A14 Bionic,6 GB,256 Gb
Điện Thoại Nokia 5.4 PURPLE,https://pico.vn/42003/dien-thoai-di-dong-nokia-54-ta1325-ds-4128-vn-purple.html,3490000,https://cdn.pico.vn/Product/42003/365107_untitled-1.jpg,Android 10 (Android One),IPS LCD 6.39 inch HD+ (720 x 1560 Pixels),"48 MP & 5 MP, 2 MP, 2 MP",16MP,Snapdragon 662 8 nhân,Ram 4GB,128 GB
Điện Thoại Nokia 5.4 BLUE,https://pico.vn/42002/dien-thoai-di-dong-nokia-54-ta1325-ds-4128-vn-blue.html,3490000,https://cdn.pico.vn/Product/42002/365089_untitled-1.jpg,Android 10 (Android One),IPS LCD 6.39 inch HD+ (720 x 1560 Pixels),"48 MP & 5 MP, 2 MP, 2 MP",16MP,Snapdragon 662 8 nhân,Ram 4GB,128 GB
Điện Thoại Iphone 12 Pro Gold 256GB - MGMR3VN/A,https://pico.vn/41990/dien-thoai-di-dong-iphone-12-pro-gold-256gb--mgmr3vna.html,30490000,https://cdn.pico.vn/Product/41990/364918_apple-iphone-12-pro-max-128g-gold-2020-n9aoyc.jpg,iOS 14,6.1 inch Super Retina XDR,3 camera 12 MP,Trước 12MP,Apple A14 Bionic,6 GB,256 Gb
Điện Thoại Iphone 12 Pro Gold 128GB - MGMM3VN/A,https://pico.vn/41989/dien-thoai-di-dong-iphone-12-pro-gold-128gb--mgmm3vna.html,26390000,https://cdn.pico.vn/Product/41989/364914_apple-iphone-12-pro-max-128g-gold-2020-n9aoyc.jpg,iOS 14,6.1 inch Super Retina XDR,3 Camera 12 MP.,12MP,"Apple A14 Bionic,",Ram 6 GB,128 GB
Điện Thoại Iphone 12 Green 64GB - MGJ93VN/A,https://pico.vn/41988/dien-thoai-di-dong-iphone-12-green-64gb--mgj93vna.html,19990000,https://cdn.pico.vn/Product/41988/364924_71cqwyvtcbl.jpg,iOS 14,6.1 inch Super Retina XDR,Chính 12 MP & Phụ 12 MP.,12MP,Apple A14 Bionic,Ram 4 GB,Rom 64 GB
Điện Thoại Iphone 12 Blue 64GB - MGJ83VN/A,https://pico.vn/41987/dien-thoai-di-dong-iphone-12-blue-64gb--mgj83vna.html,20790000,https://cdn.pico.vn/Product/41987/364930_71zotndazcl.jpg,iOS 14,6.1 inch Super Retina XDR,Chính 12 MP & Phụ 12 MP.,12MP,"Apple A14 Bionic, Ram 4 GB, Rom 64 GB",Ram 4 GB,Rom 64 GB
Điện Thoại Iphone 12 White 64GB - MGJ63VN/A,https://pico.vn/41986/dien-thoai-di-dong-iphone-12-white-64gb--mgj63vna.html,20490000,https://cdn.pico.vn/Product/41986/364936_711wsjbtwel.jpg,iOS 14,6.1 inch Super Retina XDR,Chính 12 MP & Phụ 12 MP.,12MP,Apple A14 Bionic,Ram 4 GB,Rom 64 GB
Điện Thoại Iphone 12 Pro Max Gold 128GB - MGD93VN/A,https://pico.vn/41985/dien-thoai-di-dong-iphone-12-pro-max-gold-128gb--mgd93vna.html,29090000,https://cdn.pico.vn/Product/41985/364909_apple-iphone-12-pro-max-128g-gold-2020-n9aoyc.jpg,iOS 14,,Sau: 3 Cam 12 MP.,Trước 12MP,"Apple A14 Bionic, Ram 6 GB, Rom 128 GB",6 GB,128 GB
Điện Thoại Samsung Galaxy S21 Ultra 5G Bạc,https://pico.vn/41968/dien-thoai-di-dong-samsung-smg996-galaxy-s21-ultra-5g-bac.html,26990000,https://cdn.pico.vn/Product/41968/364717_sm-g998s21ultraphantom-silverfront201110.jpg,Android 11,"Dynamic AMOLED 2X 6.8 inch, 2K+ (1440 x 3200 Pixels)","Cam Sau 108 MP & Phụ 12 MP, 10 MP, 10 MP,",Trước :40 MP,Exynos 2100 8 nhân,Ram 12 GB,128 GB
Điện Thoại Samsung Galaxy S21 Ultra 5G Đen,https://pico.vn/41967/dien-thoai-di-dong-samsung-smg996-galaxy-s21-ultra-5g-den.html,26990000,https://cdn.pico.vn/Product/41967/364701_sm-g998s21ultraphantom-blackfront201110.jpg,Android 11,"Dynamic AMOLED 2X 6.8 inch, 2K+ (1440 x 3200 Pixels)","Cam Sau 108 MP & Phụ 12 MP, 10 MP, 10 MP,",Trước :40 MP,Exynos 2100 8 nhân,Ram 12Gb,128 GB
Điện Thoại Samsung Galaxy S21+ 5G Tím,https://pico.vn/41966/dien-thoai-di-dong-samsung-smg996-galaxy-s21-5g-tim.html,22490000,https://cdn.pico.vn/Product/41966/364685_sm-g990g991s21phantom-violetfront201110.jpg,Android 11,"Dynamic AMOLED 2X 6.7 inch, Full HD+ (1080 x 2400 Pixels)","Sau 12 MP & 64 MP, 12 MP,",Trước :10 MP,Exynos 2100 8 nhân,8 GB,128GB
Điện Thoại Samsung Galaxy S21+ 5G Bạc,https://pico.vn/41965/dien-thoai-di-dong-samsung-smg996-galaxy-s21-5g-bac.html,22490000,https://cdn.pico.vn/Product/41965/364679_sm-g990g991s21phantom-whitefront201110.jpg,Android 11,"Dynamic AMOLED 2X 6.7 inch, Full HD+ (1080 x 2400 Pixels)","Sau 12 MP & 64 MP, 12 MP,",Trước :10 MP,Exynos 2100 8 nhân,8 GB,"128 GB,"
Điện Thoại Samsung Galaxy S21+ 5G Đen,https://pico.vn/41964/dien-thoai-di-dong-samsung-smg996-galaxy-s21-5g-den.html,22490000,https://cdn.pico.vn/Product/41964/364671_sm-g990g991s21phantom-grayfront201110.jpg,Android 11,"Dynamic AMOLED 2X 6.7 inch, Full HD+ (1080 x 2400 Pixels)","Sau 12 MP & 64 MP, 12 MP,",Trước :10 MP,Exynos 2100 8 nhân,Ram 8Gb,"128 GB,"
Điện Thoại Samsung Galaxy A12 Trắng (4GB/128GB),https://pico.vn/41953/dien-thoai-di-dong-samsung-sma125-trang--galaxy-a12.html,3990000,https://cdn.pico.vn/Product/41953/364504_untitled-1.jpg,Android 10,,"Sau : 48Mp, 5Mp, 2Mp, 2MP (4 camera)",Trước : 8 MP,"Helio G35 8 nhân, Ram 4GB",Ram 4GB,128GB
