Tên,Link,Giá,Ảnh,Hệ điều hành,Loại màn hình,Camera sau,Camera trước,Chipset,RAM,Bộ nhớ trong (ROM)
Điện Thoại Nokia 215 4G Cyan,https://pico.vn/41815/dien-thoai-di-dong-nokia-215-4g-ta1272-ds-vn-cyan.html,749000,https://cdn.pico.vn/Product/41815/363043_637408832231280641nokia-215-xanh-2.jpg,12 tháng,2.4 inch QVGA (240 x 320 Pixels),,,,,
Điện Thoại Nokia 215 4G Black,https://pico.vn/41814/dien-thoai-di-dong-nokia-215-4g-ta1272-ds-vn-black.html,749000,https://cdn.pico.vn/Product/41814/362989_637408828200051906nokia-215-den-2.jpg,12 tháng,2.4 inch QVGA (240 x 320 Pixels),,,,,
Điện Thoại Nokia 2.4 TA Tím,https://pico.vn/41763/dien-thoai-di-dong-nokia-24-ta1270-ds-232-mau-tim.html,2290000,https://cdn.pico.vn/Product/41763/362566_10047573-dien-thoai-nokia-2-4-tim-hoang-hon-2.jpg,Android 10,TFT LCD,Chính 13 MP & Phụ 2 MP,5 MP,Helio P22,2 Gb,32GB
Điện Thoại Nokia 2.4 TA Xanh,https://pico.vn/41741/dien-thoai-di-dong-nokia-24-ta1270-ds-232-mau-xanh.html,2290000,https://cdn.pico.vn/Product/41741/362302_637378374294534761nokia-2-4-blue-2.jpg,Android 10,TFT LCD,Chính 13 MP & Phụ 2 MP,5 MP,MediaTek MT6762 8 nhân (Helio P22),2 GB,32 GB
Điện Thoại Nokia 2.4 TA Đen,https://pico.vn/41740/dien-thoai-di-dong-nokia-24-ta1270-ds-232-mau-den.html,2290000,https://cdn.pico.vn/Product/41740/362291_637378378339974382nokia-2-4-grey-2.jpg,Android 10,TFT LCD,Chính 13 MP & Phụ 2 MP,5 MP,MediaTek MT6762 8 nhân (Helio P22),2 GB,32 GB
Điện Thoại Oppo Reno 4 Xanh,https://pico.vn/41677/dien-thoai-di-dong-oppo-cph2113--reno-4-xanh.html,6490000,https://cdn.pico.vn/Product/41677/361493_untitled-1.jpg,Android 10,AMOLED,4 camera sau: 48 MP + 8 MP + 2 MP + 2 MP,camera trước 32MP,,8Gb,"128 GB,MicroSD Hỗ trợ thẻ tối đa 256 GB"
Điện Thoại Oppo Reno 4 Đen,https://pico.vn/41676/dien-thoai-di-dong-oppo-cph2113--reno-4-den.html,6490000,https://cdn.pico.vn/Product/41676/361515_untitled-1.jpg,Android 10,AMOLED,4 camera sau: 48 MP + 8 MP + 2 MP + 2 MP,camera trước 32MP,,8Gb,"128 GB,MicroSD Hỗ trợ thẻ tối đa 256 GB"
Điện Thoại Oppo A53 (4GB) Xanh CPH2127,https://pico.vn/41671/dien-thoai-di-dong-oppo-cph2127--a53-4gb-xanh.html,3990000,https://cdn.pico.vn/Product/41671/361527_oppo-a53-2020-xanh-duong-1-org.jpg,Android 10,,3 camera sau: 13 MP + 2 MP + 2 MP,Camera trước 16MP,Snapdragon 460 8 nhân,Ram 4 GB,128 GB
Điện Thoại Oppo A53 (4GB) Đen CPH2127,https://pico.vn/41670/dien-thoai-di-dong-oppo-cph2127--a53-4gb-den.html,3990000,https://cdn.pico.vn/Product/41670/361521_oppo-a53-2020-den-1-org.jpg,Android 10,,3 camera sau: 13 MP + 2 MP + 2 MP,Camera trước 16MP,Snapdragon 460 8 nhân,Ram 4 GB,128 GB
Điện Thoại Nokia 5310 (2020),https://pico.vn/41646/dien-thoai-di-dong-nokia-5310-ta1212-ds-vn-blackred.html,990000,https://cdn.pico.vn/Product/41646/361162_4110ru1t4kl.jpg,,,Camera VGA có đèn flash,,,,
Điện Thoại Samsung Galaxy A01 Core (SM-A013G Xanh ),https://pico.vn/41606/dien-thoai-di-dong-samsung-sma013g-xanh--galaxy-a01-core.html,1890000,https://cdn.pico.vn/Product/41606/360527_untitled-1.jpg,Android 10,,Sau : 8MP,Trước : 5 MP,,1 GB,16GB
Điện Thoại Nokia 150 TA-1235 DS VN CYAN - Model 2020,https://pico.vn/41542/dien-thoai-di-dong-nokia-150-ta1235-ds-vn-cyan--model-2020.html,649000,https://cdn.pico.vn/Product/41542/359703_untitled-1.jpg,,TFT,VGA (480 x 640 pixels),,,,
