name,category,price,image,url,ram,memory/rom
samsung galaxy note 20,samsung,19.450.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/m/i/mint_final.jpg,https://cellphones.com.vn/samsung-galaxy-note-20.html,8 gb,
samsung galaxy a32,samsung,6.300.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-a32-20.jpg,https://cellphones.com.vn/samsung-galaxy-a32.html,6 gb,
vsmart active 3 6gb ram,vsmart,3.290.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/v/s/vsmart-active-3_2_.png,https://cellphones.com.vn/vsmart-active-3.html,,
xiaomi mi 11 5g,xiaomi,18.490.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-mi-11-xanhduong-600x600-600x600.jpg,https://cellphones.com.vn/xiaomi-mi-11.html,8 gb,
xiaomi redmi note 10 4gb,xiaomi,3.600.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-redmi-note-10_1_2.jpg,https://cellphones.com.vn/xiaomi-redmi-note-10-64gb.html,4 gb,
asus rog phone 3 chính hãng,other,19.490.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/o/rog_3.jpg,https://cellphones.com.vn/asus-rog-phone-3.html,12 gb,
xiaomi mi 10t pro 5g 8gb 128gb,xiaomi,10.300.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-mi-10t-pro_2__3.jpg,https://cellphones.com.vn/xiaomi-mi-10t-pro-128gb.html,8 gb,
xiaomi redmi note 10 pro ( phiên bản mi fan festival),xiaomi,8.290.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-redmi-note-10-pro-mi-fan-festival.jpg,https://cellphones.com.vn/xiaomi-redmi-note-10-pro-mi-fan-festival.html,8 gb,
iphone 12 128gb i chính hãng vn/a ,iphone,22.000.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-12_7__6_3.jpg,https://cellphones.com.vn/iphone-12-128gb.html,4 gb,
realme 7,realme,5.590.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/r/e/realme-7-1.jpg,https://cellphones.com.vn/realme-7.html,8 gb,
xiaomi redmi note 10 pro 8gb,xiaomi,8.290.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/x/i/xiaomi-redmi-note-10-pro_2_.png,https://cellphones.com.vn/xiaomi-redmi-note-10-pro.html,8 gb,
iphone 12 pro max 256gb i chính hãng vn/a ,iphone,32.500.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone-12-pro-max_3__5.jpg,https://cellphones.com.vn/iphone-12-pro-max-256gb.html,6 gb,
vsmart aris 8gb 128gb,vsmart,5.390.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/1/1/11_3_1_1.png,https://cellphones.com.vn/vsmart-aris-8gb.html,8 gb,
oppo a93,oppo,6.190.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/c/o/combo_-_a93-black_2.png,https://cellphones.com.vn/oppo-a93.html,8 gb,
oppo a73,oppo,4.890.000 ₫,https://cdn.cellphones.com.vn/media/catalog/product/cache/7/small_image/220x175/9df78eab33525d08d6e5fb8d27136e95/o/p/oppo-a73_1_.jpg,https://cellphones.com.vn/oppo-a73.html,6 gb,
